model,prompt,vignette,predictor,Estimate,SE,z,p_value,p_adj
llama,ignore,1,age_rated_z,-0.0989464865430393,0.072716523429628,-1.360715307557236,0.1736036752041541,0.8336366885658608
llama,ignore,1,luminance_z,0.0572531796342881,0.1802952064386744,0.3175524228580208,0.7508244683959328,0.9829377756719886
llama,ignore,1,raceB,0.0151542375833109,0.5382684907776013,0.0281536776589293,0.9775395824371452,0.9829377756719886
llama,ignore,1,raceI,-0.2771676703559373,0.4133768763535922,-0.6704963102939872,0.5025414577553999,0.8336366885658608
llama,ignore,1,raceL,-0.2738497285563492,0.3459808653723497,-0.7915169767022465,0.4286423734456421,0.8336366885658608
llama,ignore,1,raceW,-0.53958385330721,0.5369264609569618,-1.0049492668800712,0.3149212795847328,0.8336366885658608
llama,ignore,1,genderM,0.1172970313698036,0.1580331440766406,0.7422305748275098,0.4579476468694652,0.8336366885658608
llama,baseline,1,threatening_z,-0.1604443501053215,0.1274951915731333,-1.258434519181753,0.2082346545421048,0.9494152854440264
llama,baseline,1,trustworthy_z,-0.0864563299051621,0.133504481758756,-0.647591217659566,0.5172493790485471,0.9494152854440264
llama,baseline,1,attractive_z,0.0674660220983869,0.110480945271978,0.6106575385674113,0.5414263220868888,0.9494152854440264
llama,baseline,1,prototypic_z,0.1025061809778307,0.0908134932445488,1.1287549604748166,0.2590012172412037,0.9494152854440264
llama,baseline,1,race_ambiguity_z,0.0974984700036527,0.2363532564504294,0.4125116423944899,0.6799644490612735,0.9494152854440264
llama,baseline,1,age_rated_z,-0.0158496354248111,0.0789847377820942,-0.2006670639147731,0.8409589150191468,0.9494152854440264
llama,baseline,1,luminance_z,0.0146195300050432,0.1975621993043707,0.0739996317945415,0.9410106782443642,0.9494152854440264
llama,baseline,1,raceB,0.3110794049081943,0.6052309012297802,0.5139846697782716,0.6072627088401321,0.9494152854440264
llama,baseline,1,raceI,0.5031016276818943,0.4493699135776942,1.1195712318085802,0.262896520503929,0.9494152854440264
llama,baseline,1,raceL,0.0612408531306237,0.3826790079705833,0.1600319114847589,0.872855936432879,0.9494152854440264
llama,baseline,1,raceW,0.3996324178033316,0.5899499588629514,0.6774005350785496,0.498151858939814,0.9494152854440264
llama,baseline,1,genderM,0.010922660253503,0.1721701820665899,0.0634410681477847,0.9494152854440264,0.9494152854440264
qwen,acknowledge,2,threatening_z,-0.0528931311791614,0.1461787529200139,-0.3618387085851218,0.7174725640464348,0.9566300853952463
qwen,acknowledge,2,trustworthy_z,-0.2851977600517858,0.1545856702570839,-1.8449171878446904,0.0650495859942329,0.6262589065228784
qwen,acknowledge,2,attractive_z,0.1844733434193103,0.1302115502888809,1.41672027565947,0.1565647266307196,0.6262589065228784
qwen,acknowledge,2,prototypic_z,-0.1594147423032605,0.1027545324745203,-1.551413241481976,0.1208026839663708,0.6262589065228784
qwen,acknowledge,2,race_ambiguity_z,-0.2701506453700423,0.2635136350160217,-1.0251865917815488,0.3052751536085064,0.7326603686604153
qwen,acknowledge,2,age_rated_z,-0.0411024150824547,0.0977764763343738,-0.4203712040296241,0.6742143008885115,0.9566300853952463
qwen,acknowledge,2,luminance_z,0.1667123742684962,0.2203791273044933,0.7564798731512953,0.4493615351882625,0.898723070376525
qwen,acknowledge,2,raceB,0.3388828686032702,0.6360941289566486,0.5327558503945349,0.5942025991791999,0.9566300853952463
qwen,acknowledge,2,raceI,0.5739202825739733,0.5070850149458895,1.1318028844437766,0.2577173147943009,0.7326603686604153
qwen,acknowledge,2,raceL,0.0292012557872452,0.4273708829544384,0.0683276679622518,0.9455247997422294,0.9673115605387718
qwen,acknowledge,2,raceW,-0.0268510962461959,0.6552188002513847,-0.0409803507406902,0.9673115605387718,0.9673115605387718
qwen,acknowledge,2,genderM,0.0363040264921481,0.1952905610609796,0.1858974970163161,0.8525251450821092,0.9673115605387718
qwen,ignore,2,threatening_z,-0.0511351702694194,0.1636602969886404,-0.3124470088977579,0.7547008292762607,0.8121761612428543
