Estimate,SE,z,p_value,model,prompt,predictor,family,p_adj_m_p_f,p_adj_m_p
0.0786476730367716,0.1758869757334565,0.4471489302082053,0.6547675321764246,llama,ignore,raceW,race,0.7350037035483583,0.8018222220527544
-0.0328450407715897,0.0516353094112488,-0.6360965228269628,0.5247135117567722,llama,ignore,genderM,gender,0.5247135117567722,0.8018222220527544
-0.0056960899675513,0.0373428112836061,-0.1525351137677211,0.8787648976734175,llama,acknowledge,threatening_z,attribute,0.961031290815258,0.961031290815258
-0.0027560278011528,0.0389080383789027,-0.0708344063587455,0.9435295482753868,llama,acknowledge,trustworthy_z,attribute,0.961031290815258,0.961031290815258
0.0202461377469339,0.0323242265377574,0.6263456210865478,0.5310882689964084,llama,acknowledge,attractive_z,attribute,0.9294044707437147,0.8714588600994877
0.0354959485494057,0.0260874240999287,1.3606536396018751,0.1736231718406462,llama,acknowledge,prototypic_z,attribute,0.6000068165101813,0.5208695155219386
-0.0768319931927971,0.0678031212499954,-1.133163072382929,0.2571457785043634,llama,acknowledge,race_ambiguity_z,attribute,0.6000068165101813,0.617149868410472
-0.0316706139206352,0.0228055009054947,-1.3887269589857814,0.1649157931512352,llama,acknowledge,age_rated_z,attribute,0.6000068165101813,0.5208695155219386
0.0027902613673716,0.0571078960150593,0.0488594671152974,0.961031290815258,llama,acknowledge,luminance_z,attribute,0.961031290815258,0.961031290815258
-0.2755905630983591,0.1723050595094258,-1.59943395674509,0.1097242122535127,llama,acknowledge,raceB,race,0.2771756472192938,0.5208695155219386
-0.0608093165342434,0.1305194721807925,-0.4659022559485363,0.6412854662988748,llama,acknowledge,raceI,race,0.6412854662988748,0.8714588600994877
-0.0809041104479413,0.1101334840374267,-0.7346004819065531,0.4625828444292587,llama,acknowledge,raceL,race,0.6167771259056782,0.8714588600994877
-0.2507996749651326,0.1693367720460731,-1.4810703660802933,0.1385878236096469,llama,acknowledge,raceW,race,0.2771756472192938,0.5208695155219386
0.0223960762817319,0.0499049368886523,0.4487747641421128,0.6535941450746158,llama,acknowledge,genderM,gender,0.6535941450746158,0.8714588600994877
