Estimate,SE,z,p_value,model,prompt,predictor,analysis,family,p_adj_m_p_f,p_adj_m_p
-0.0390845262295428,0.0375259752888992,-1.0415325898566208,0.2976284360242421,qwen,acknowledge,prototypic_z,borderline_only,attribute,0.7366019920101122,0.8207356056674621
-0.0032967814203761,0.0976603013089666,-0.0337576412952702,0.973070414027337,qwen,acknowledge,race_ambiguity_z,borderline_only,attribute,0.973070414027337,0.973070414027337
-0.033218938858059,0.0331076540094965,-1.0033613027528496,0.3156865680043338,qwen,acknowledge,age_rated_z,borderline_only,attribute,0.7366019920101122,0.8207356056674621
0.0408632928086983,0.0825855224751318,0.4947997128794947,0.6207415070622291,qwen,acknowledge,luminance_z,borderline_only,attribute,0.922858619650299,0.973070414027337
0.0519760307747916,0.2474923910731171,0.2100106211323331,0.8336593834231131,qwen,acknowledge,raceB,borderline_only,race,0.959059185097057,0.973070414027337
0.0096538948713356,0.1880595683350538,0.0513342392349637,0.959059185097057,qwen,acknowledge,raceI,borderline_only,race,0.959059185097057,0.973070414027337
0.1503737075643759,0.158242512972301,0.9502737585486748,0.3419731690281092,qwen,acknowledge,raceL,borderline_only,race,0.959059185097057,0.8207356056674621
0.0488534799079528,0.2440383131316182,0.2001877462642698,0.8413337502694404,qwen,acknowledge,raceW,borderline_only,race,0.959059185097057,0.973070414027337
-0.1022932752631759,0.0720587325913271,-1.4195819380188184,0.1557294268402286,qwen,acknowledge,genderM,borderline_only,gender,0.1557294268402286,0.8207356056674621
-0.043835763294901,0.0424252265308819,-1.0332475953426523,0.3014880445179219,llama,baseline,threatening_z,borderline_only,attribute,0.9353089094139526,0.8294551367097296
-0.0064765568031284,0.0442493039012944,-0.1463651680843488,0.8836331229877145,llama,baseline,trustworthy_z,borderline_only,attribute,0.9353089094139526,0.9353089094139526
-0.0029669740826461,0.0365538130292846,-0.0811672938270278,0.9353089094139526,llama,baseline,attractive_z,borderline_only,attribute,0.9353089094139526,0.9353089094139526
-0.0053968196280404,0.0294161053547481,-0.1834647912412819,0.8544333423779994,llama,baseline,prototypic_z,borderline_only,attribute,0.9353089094139526,0.9353089094139526
0.0227094495829543,0.0767388467131792,0.2959315986052505,0.7672823190715967,llama,baseline,race_ambiguity_z,borderline_only,attribute,0.9353089094139526,0.9353089094139526
-0.0242371888652969,0.0258364664754622,-0.9380999870208956,0.3481930285063726,llama,baseline,age_rated_z,borderline_only,attribute,0.9353089094139526,0.8294551367097296
-0.033364724613039,0.0649399581184265,-0.5137780432841386,0.6074071806511412,llama,baseline,luminance_z,borderline_only,attribute,0.9353089094139526,0.9130654452818721
0.0995015800300054,0.1943711821503844,0.5119152897522705,0.6087102968545813,llama,baseline,raceB,borderline_only,race,0.6087102968545813,0.9130654452818721
0.1589151944593572,0.1483022721751426,1.0715627760017117,0.2839164602713918,llama,baseline,raceI,borderline_only,race,0.5529700911398197,0.8294551367097296
0.101350998765861,0.1242652020478827,0.8156024139952532,0.4147275683548648,llama,baseline,raceL,borderline_only,race,0.5529700911398197,0.8294551367097296
0.2050696284417168,0.19196163696472,1.0682844326827965,0.2853922284624363,llama,baseline,raceW,borderline_only,race,0.5529700911398197,0.8294551367097296
0.0565095545822219,0.0565919594574631,0.9985438766207916,0.3180156993702342,llama,baseline,genderM,borderline_only,gender,0.3180156993702342,0.8294551367097296
-0.0347281304559904,0.0423415141224362,-0.8201910388837153,0.4121072096465245,llama,ignore,threatening_z,borderline_only,attribute,0.6044730157037279,0.793637890417691
-0.0698978424994468,0.043986217804504,-1.5890850813795012,0.1120411854410826,llama,ignore,trustworthy_z,borderline_only,attribute,0.26142943269585944,0.4481647417643304
0.0727860292397491,0.0366306703384093,1.9870242222520536,0.0469197126752032,llama,ignore,attractive_z,borderline_only,attribute,0.26142943269585944,0.4481647417643304
-0.0063528519633191,0.029583513454734,-0.2147429842313919,0.8299677077054212,llama,ignore,prototypic_z,borderline_only,attribute,0.8299677077054212,0.8299677077054212
0.0602267670061683,0.0766075736285192,0.7861724912241222,0.4317664397883771,llama,ignore,race_ambiguity_z,borderline_only,attribute,0.6044730157037279,0.793637890417691
-0.0116945017199823,0.0258156385814549,-0.4530006756595696,0.6505482549924222,llama,ignore,age_rated_z,borderline_only,attribute,0.7589729641578259,0.793637890417691
-0.1059152162799958,0.0647903717953011,-1.6347369731821346,0.1021041981970486,llama,ignore,luminance_z,borderline_only,attribute,0.26142943269585944,0.4481647417643304
-0.1484201667805187,0.1959200956821006,-0.7575545850148263,0.4487176767053316,llama,ignore,raceB,borderline_only,race,0.7275013995495501,0.793637890417691
-0.0865395291864131,0.1484213668296964,-0.5830665155220641,0.5598485238740221,llama,ignore,raceI,borderline_only,race,0.7275013995495501,0.793637890417691
-0.0435431655423508,0.1249620396193734,-0.3484511430429644,0.7275013995495501,llama,ignore,raceL,borderline_only,race,0.7275013995495501,0.793637890417691
0.0835112214692828,0.1919583956322655,0.4350485489015296,0.663527188306501,llama,ignore,raceW,borderline_only,race,0.7275013995495501,0.793637890417691
-0.0277365848601515,0.0563135370422112,-0.4925384963718573,0.6223387146390016,llama,ignore,genderM,borderline_only,gender,0.6223387146390016,0.793637890417691
-0.0062497586201162,0.0410862551673465,-0.1521131238332781,0.8790977133401123,llama,acknowledge,threatening_z,borderline_only,attribute,0.8790977133401123,0.9590156872801224
0.0181078526694263,0.0428287850009462,0.4227963195553239,0.6724438731554749,llama,acknowledge,trustworthy_z,borderline_only,attribute,0.8790977133401123,0.9590156872801224
-0.0078336942932272,0.0355782063582135,-0.2201823839671662,0.8257291155492693,llama,acknowledge,attractive_z,borderline_only,attribute,0.8790977133401123,0.9590156872801224
0.0277179132543017,0.0287044236244636,0.9656321136049184,0.3342283000744516,llama,acknowledge,prototypic_z,borderline_only,attribute,0.8790977133401123,0.8252821342690401
-0.0432766153571071,0.074574119154771,-0.5803168156407034,0.5617009896688472,llama,acknowledge,race_ambiguity_z,borderline_only,attribute,0.8790977133401123,0.9590156872801224
-0.023813187645213,0.0251578460641799,-0.9465511309856752,0.3438675559454334,llama,acknowledge,age_rated_z,borderline_only,attribute,0.8790977133401123,0.8252821342690401
-0.0432881665768531,0.0628110346398118,-0.6891809190071136,0.4907094228617349,llama,acknowledge,luminance_z,borderline_only,attribute,0.8790977133401123,0.9590156872801224
-0.3806498483394302,0.1894042791367162,-2.009721480815482,0.0444606751515717,llama,acknowledge,raceB,borderline_only,race,0.1778427006062868,0.5335281018188603
-0.1476882913327915,0.1435784135658334,-1.0286246216606487,0.3036561033625132,llama,acknowledge,raceI,borderline_only,race,0.4048748044833509,0.8252821342690401
-0.0403261691790752,0.1211088290537534,-0.332974643501645,0.7391534235957198,llama,acknowledge,raceL,borderline_only,race,0.7391534235957198,0.9590156872801224
-0.2119046573665681,0.1862884852009573,-1.137508081285741,0.255325948220054,llama,acknowledge,raceW,borderline_only,race,0.4048748044833509,0.8252821342690401
-0.0019902791053639,0.0549148256307377,-0.0362430196673503,0.9710885837720634,llama,acknowledge,genderM,borderline_only,gender,0.9710885837720634,0.9710885837720634
