Estimate,Std. Error,z value,Pr(>|z|),model,prompt,vignette,predictor
0.16780975918034446,1.7718567910643046,0.09470842114703065,0.9245464289399168,qwen,baseline,4,raceB
-1.536742315093426,1.2347603005594279,-1.244567317557246,0.21329084014989433,qwen,baseline,4,raceI
-0.3595487838278366,1.062487346389999,-0.3384028855020922,0.7350595999527612,qwen,baseline,4,raceL
-1.0864724348344372,1.6794439134033878,-0.646923916996254,0.5176811858076495,qwen,baseline,4,raceW
0.12535599837253483,0.5054541513661257,0.248006664964026,0.8041292499810575,qwen,baseline,4,genderM
2.0768181088524207,1.4779819481973815,1.4051714984647876,0.15997028722946288,qwen,baseline,5,(Intercept)
0.46734958300870166,0.7027548465268678,0.6650250586223938,0.5060344655783771,qwen,baseline,5,threatening_z
0.14200754163480364,0.5654323889468289,0.25114858011460234,0.8016992377240355,qwen,baseline,5,trustworthy_z
0.6154958648109662,0.5120327846708345,1.2020633897625208,0.22933896927148148,qwen,baseline,5,attractive_z
0.42592033640403043,0.4550259828224262,0.9360351990498217,0.34925506505001486,qwen,baseline,5,prototypic_z
3.6285414612487528,1.5159003842609797,2.393654292143815,0.01668146352203327,qwen,baseline,5,race_ambiguity_z
-0.07546796007543408,0.3574069474853199,-0.21115414965047324,0.8327669873365419,qwen,baseline,5,age_rated_z
-1.5758003388539537,0.9986938936218585,-1.5778611934225049,0.11459750188038606,qwen,baseline,5,luminance_z
3.8049843685166436,2.3634544326769755,1.6099249961874296,0.10741423133210219,qwen,baseline,5,raceB
-1.3572157950907913,2.194204909345221,-0.6185456013293681,0.536215747874988,qwen,baseline,5,raceI
4.936820815267799,2.4490069299264183,2.0158459965714055,0.04381608209419815,qwen,baseline,5,raceL
8.370747018897914,3.797265509112892,2.204414465833196,0.02749520925429778,qwen,baseline,5,raceW
-0.9512728452945725,0.6977945514784867,-1.3632563385297523,0.17280173715563546,qwen,baseline,5,genderM
0.9041129548830994,0.3715554523351799,2.433319035424892,0.014961111957103555,qwen,baseline,6,(Intercept)
-0.14600496512643082,0.13804529754010636,-1.057659824189317,0.290210557772958,qwen,baseline,6,threatening_z
-0.10245152373826771,0.14179584726403324,-0.7225283794630192,0.4699696837072889,qwen,baseline,6,trustworthy_z
0.02243457529085308,0.11822965356928586,0.18975421659089778,0.8495017338402188,qwen,baseline,6,attractive_z
-0.0039781436807618895,0.0951224909541512,-0.041821273190578497,0.9666411762935946,qwen,baseline,6,prototypic_z
0.6059918103158455,0.2519849718043825,2.40487282228196,0.016178094799605983,qwen,baseline,6,race_ambiguity_z
