Estimate,SE,z,p_value,model,prompt,predictor
-0.023150486336280637,0.03883121557129726,-0.5961823753308589,0.5510533983650974,llama,ignore,threatening_z
-0.08006846717980581,0.04026559283485685,-1.9885083403141322,0.046755497518203015,llama,ignore,trustworthy_z
0.08252617737181261,0.03362066185422961,2.454626792584409,0.01410309197426873,llama,ignore,attractive_z
-0.0035959357605552696,0.02712071634426267,-0.13258999927986717,0.8945176420036154,llama,ignore,prototypic_z
0.05848366096291731,0.07013369781552774,0.8338881705160698,0.404344003871524,llama,ignore,race_ambiguity_z
-0.02301627775792977,0.023514348344701026,-0.9788184397258239,0.32766969690422776,llama,ignore,age_rated_z
-0.06251094061246015,0.05937118367867506,-1.0528835158614638,0.2923943819253145,llama,ignore,luminance_z
-0.060873977490826923,0.17989622231772093,-0.3383838565732375,0.7350739379620473,llama,ignore,raceB
-0.06553852668930653,0.1361271393082695,-0.4814508482462848,0.6301961050432001,llama,ignore,raceI
-0.041176980499842794,0.11461747513965924,-0.35925569333707114,0.7194038164008225,llama,ignore,raceL
0.07867123717778482,0.1758869435376812,0.4472829852827061,0.6546707504393813,llama,ignore,raceW
-0.03285545543400588,0.051635307307892786,-0.6362982452703194,0.524582048446893,llama,ignore,genderM
0.8137288201460713,0.24453899703149207,3.3276034907482597,0.0008759644620988369,llama,acknowledge,(Intercept)
-0.005698306040860074,0.0373428182052026,-0.1525944295245019,0.878718118147531,llama,acknowledge,threatening_z
-0.0027549549304972986,0.03890804294995849,-0.07080682351565662,0.9435515010781476,llama,acknowledge,trustworthy_z
0.020244666390931983,0.03232422871225797,0.6263000602781533,0.5311181468158035,llama,acknowledge,attractive_z
0.03549765432150741,0.02608742145269875,1.3607191644398864,0.17360245588552403,llama,acknowledge,prototypic_z
-0.07682207517754858,0.06780311069203039,-1.1330169721339685,0.25720712605041113,llama,acknowledge,race_ambiguity_z
-0.03167130815055219,0.02280549915998951,-1.3887575066156437,0.16490650078476762,llama,acknowledge,age_rated_z
0.002784864899711331,0.05710788157945252,0.04876498344342943,0.9611065881218716,llama,acknowledge,luminance_z
-0.2755794966479409,0.17230493789629306,-1.59937085966629,0.10973822320243225,llama,acknowledge,raceB
-0.060803217131078724,0.13051947255959706,-0.4658555228478655,0.6413189192425481,llama,acknowledge,raceI
-0.08088806809511248,0.11013346777511493,-0.7344549275455525,0.46267152074199047,llama,acknowledge,raceL
-0.25077003230970407,0.16933675276209223,-1.4808954832269674,0.13863442683617436,llama,acknowledge,raceW
0.022392835359516472,0.049904928356994754,0.4487098989368223,0.6536409428262173,llama,acknowledge,genderM
