Estimate,SE,z,p_value,model,prompt,predictor,family,p_adj_m_p_f,p_adj_m_p
0.1022480750881558,0.072611458244082,1.4081534452104083,0.1590856381980478,qwen,ignore,luminance_z,attribute,0.9216408372062819,0.6363425527921912
0.2629951528955316,0.2180157022585418,1.2063128947641086,0.2276968675629763,qwen,ignore,raceB,race,0.4553937351259526,0.683090602688929
0.2341206319405392,0.1656223017079879,1.4135815619403849,0.1574847980979568,qwen,ignore,raceI,race,0.4553937351259526,0.6363425527921912
0.0895007856304924,0.1394118075180275,0.6419885605379517,0.5208806105737622,qwen,ignore,raceL,race,0.6945074807650162,0.8617940295954842
0.0675267292600603,0.2148115579371545,0.3143533332587999,0.7532526955430682,qwen,ignore,raceW,race,0.7532526955430682,0.8617940295954842
0.0976383915399537,0.0633806721601093,1.5405073536188478,0.123436731710619,qwen,ignore,genderM,gender,0.123436731710619,0.6363425527921912
-0.0181160511929138,0.0456336573282113,-0.3969888072441264,0.6913757144021179,qwen,acknowledge,threatening_z,attribute,0.9066235803698928,0.9162892775455472
0.0126916992818439,0.047501939931653,0.2671827571696034,0.7893284515070405,qwen,acknowledge,trustworthy_z,attribute,0.9066235803698928,0.9162892775455472
0.0046271732053311,0.0394478746669416,0.117298415805626,0.9066235803698928,qwen,acknowledge,attractive_z,attribute,0.9066235803698928,0.9162892775455472
-0.0377192469183308,0.0317494659788905,-1.1880277590624526,0.2348224734516097,qwen,acknowledge,prototypic_z,attribute,0.8218786570806339,0.9162892775455472
-0.0491275417911912,0.0826372969043396,-0.5944959919013438,0.5521804222773506,qwen,acknowledge,race_ambiguity_z,attribute,0.9066235803698928,0.9162892775455472
-0.0349306311772378,0.0280385880871145,-1.2458056400240287,0.2128357584821694,qwen,acknowledge,age_rated_z,attribute,0.8218786570806339,0.9162892775455472
0.0314089916898739,0.069895296814541,0.4493720339039981,0.653163301947163,qwen,acknowledge,luminance_z,attribute,0.9066235803698928,0.9162892775455472
-0.0610180848301583,0.2095208555619026,-0.2912267834460549,0.7708778796796916,qwen,acknowledge,raceB,race,0.9162892775455472,0.9162892775455472
0.0167360398286131,0.1592254871722297,0.1051090508550946,0.9162892775455472,qwen,acknowledge,raceI,race,0.9162892775455472,0.9162892775455472
0.0358209530535868,0.1339358947835597,0.2674484917689426,0.789123867662965,qwen,acknowledge,raceL,race,0.9162892775455472,0.9162892775455472
-0.0663709176304327,0.2065167138529656,-0.3213827897614477,0.7479203237105014,qwen,acknowledge,raceW,race,0.9162892775455472,0.9162892775455472
-0.0937621792089634,0.0610136131542609,-1.5367419557977045,0.1243565124719456,qwen,acknowledge,genderM,gender,0.1243565124719456,0.9162892775455472
-0.0359876430058361,0.038825012951274,-0.9269190212763396,0.3539685804456539,llama,baseline,threatening_z,attribute,0.9354099803406272,0.8165289462334326
-0.0101566325052837,0.0404575566675499,-0.2510441396336268,0.8017799831491089,llama,baseline,trustworthy_z,attribute,0.9354099803406272,0.8746690725263006
-0.0008161240558348,0.0334347739057463,-0.0244094384527765,0.9805260197732374,llama,baseline,attractive_z,attribute,0.9805260197732374,0.9805260197732374
0.0070953054495428,0.026923997048301,0.2635309102439012,0.7921414023457061,llama,baseline,prototypic_z,attribute,0.9354099803406272,0.8746690725263006
0.0342973636543751,0.0701890464283683,0.4886426785891357,0.625094692222041,llama,baseline,race_ambiguity_z,attribute,0.9354099803406272,0.8334595896293879
-0.0300713609501177,0.0235788590617391,-1.2753526738244017,0.2021844416830236,llama,baseline,age_rated_z,attribute,0.9354099803406272,0.8165289462334326
-0.0424256944460466,0.0595655416800017,-0.7122523064419723,0.4763085519695024,llama,baseline,luminance_z,attribute,0.9354099803406272,0.8165289462334326
0.1075409512522706,0.1781530257717529,0.6036436978064605,0.5460805538626884,llama,baseline,raceB,race,0.5460805538626884,0.8191208307940325
0.1103692678322952,0.135703645657836,0.8133110005797555,0.4160397715447329,llama,baseline,raceI,race,0.5460805538626884,0.8165289462334326
0.1178626485022752,0.1137648590869225,1.036019817087997,0.3001928974045708,llama,baseline,raceL,race,0.5460805538626884,0.8165289462334326
0.1944367955311171,0.1756655775860145,1.106857690636125,0.2683554608752492,llama,baseline,raceW,race,0.5460805538626884,0.8165289462334326
0.0629857199114772,0.0518174685470085,1.215530624664478,0.2241637758155292,llama,baseline,genderM,gender,0.2241637758155292,0.8165289462334326
-0.0231504863362806,0.0388312155712972,-0.5961823753308589,0.5510533983650974,llama,ignore,threatening_z,attribute,0.642895631425947,0.8018988414131425
-0.0800684671798058,0.0402655928348568,-1.988508340314132,0.046755497518203,llama,ignore,trustworthy_z,attribute,0.1636442413137105,0.280532985109218
0.0825261773718126,0.0336206618542296,2.454626792584409,0.0141030919742687,llama,ignore,attractive_z,attribute,0.0987216438198809,0.1692371036912244
