Estimate,SE,z,p_value,model,prompt,predictor,analysis
-0.016849766262872063,0.05390037820080366,-0.31260942548675535,0.7545774162984479,qwen,acknowledge,threatening_z,borderline_only
0.08312362414293187,0.056109002232901245,1.4814668027404303,0.13848222484989173,qwen,acknowledge,trustworthy_z,borderline_only
-0.012343487444903583,0.046581984495997514,-0.2649841473792122,0.7910216739859706,qwen,acknowledge,attractive_z,borderline_only
-0.03908452622954281,0.03752597528889927,-1.0415325898566208,0.29762843602424216,qwen,acknowledge,prototypic_z,borderline_only
-0.0032967814203761063,0.09766030130896668,-0.03375764129527022,0.973070414027337,qwen,acknowledge,race_ambiguity_z,borderline_only
-0.033218938858059016,0.0331076540094965,-1.0033613027528496,0.31568656800433387,qwen,acknowledge,age_rated_z,borderline_only
0.0408632928086983,0.08258552247513186,0.4947997128794947,0.6207415070622291,qwen,acknowledge,luminance_z,borderline_only
0.051976030774791626,0.2474923910731171,0.21001062113233315,0.8336593834231131,qwen,acknowledge,raceB,borderline_only
0.009653894871335673,0.18805956833505386,0.05133423923496378,0.959059185097057,qwen,acknowledge,raceI,borderline_only
0.1503737075643759,0.15824251297230102,0.9502737585486747,0.3419731690281092,qwen,acknowledge,raceL,borderline_only
0.04885347990795282,0.2440383131316182,0.20018774626426988,0.8413337502694404,qwen,acknowledge,raceW,borderline_only
-0.10229327526317591,0.0720587325913271,-1.4195819380188184,0.1557294268402286,qwen,acknowledge,genderM,borderline_only
0.4682237570708504,0.25015322817099844,1.8717478103092255,0.061241501676422436,llama,baseline,(Intercept),borderline_only
-0.04383576329490106,0.042425226530881946,-1.0332475953426523,0.30148804451792194,llama,baseline,threatening_z,borderline_only
-0.0064765568031284,0.04424930390129448,-0.14636516808434885,0.8836331229877145,llama,baseline,trustworthy_z,borderline_only
-0.0029669740826461814,0.03655381302928461,-0.08116729382702781,0.9353089094139526,llama,baseline,attractive_z,borderline_only
-0.00539681962804042,0.029416105354748125,-0.18346479124128193,0.8544333423779994,llama,baseline,prototypic_z,borderline_only
0.022709449582954396,0.07673884671317921,0.2959315986052505,0.7672823190715967,llama,baseline,race_ambiguity_z,borderline_only
-0.02423718886529697,0.025836466475462283,-0.9380999870208955,0.3481930285063726,llama,baseline,age_rated_z,borderline_only
-0.03336472461303909,0.06493995811842652,-0.5137780432841386,0.6074071806511412,llama,baseline,luminance_z,borderline_only
0.09950158003000542,0.19437118215038449,0.5119152897522705,0.6087102968545813,llama,baseline,raceB,borderline_only
0.15891519445935726,0.14830227217514266,1.0715627760017115,0.2839164602713918,llama,baseline,raceI,borderline_only
0.10135099876586105,0.12426520204788274,0.8156024139952532,0.4147275683548648,llama,baseline,raceL,borderline_only
0.20506962844171683,0.19196163696472,1.0682844326827965,0.28539222846243634,llama,baseline,raceW,borderline_only
0.05650955458222193,0.056591959457463155,0.9985438766207916,0.3180156993702342,llama,baseline,genderM,borderline_only
0.7717507529842923,0.21417141597481698,3.6034255527125874,0.0003140507269874624,llama,ignore,(Intercept),borderline_only
-0.03472813045599049,0.04234151412243625,-0.8201910388837153,0.41210720964652453,llama,ignore,threatening_z,borderline_only
-0.0698978424994468,0.04398621780450406,-1.5890850813795012,0.11204118544108263,llama,ignore,trustworthy_z,borderline_only
0.07278602923974917,0.03663067033840933,1.9870242222520536,0.04691971267520322,llama,ignore,attractive_z,borderline_only
-0.006352851963319117,0.029583513454734006,-0.21474298423139196,0.8299677077054212,llama,ignore,prototypic_z,borderline_only
0.06022676700616836,0.07660757362851926,0.7861724912241222,0.43176643978837714,llama,ignore,race_ambiguity_z,borderline_only
-0.011694501719982361,0.025815638581454987,-0.4530006756595696,0.6505482549924222,llama,ignore,age_rated_z,borderline_only
-0.10591521627999581,0.06479037179530119,-1.6347369731821346,0.10210419819704869,llama,ignore,luminance_z,borderline_only
-0.14842016678051878,0.1959200956821006,-0.7575545850148263,0.4487176767053316,llama,ignore,raceB,borderline_only
-0.08653952918641314,0.1484213668296964,-0.5830665155220641,0.5598485238740221,llama,ignore,raceI,borderline_only
-0.043543165542350895,0.12496203961937348,-0.34845114304296443,0.7275013995495501,llama,ignore,raceL,borderline_only
0.08351122146928283,0.1919583956322655,0.43504854890152966,0.663527188306501,llama,ignore,raceW,borderline_only
-0.02773658486015159,0.0563135370422112,-0.4925384963718573,0.6223387146390016,llama,ignore,genderM,borderline_only
0.541032175472427,0.2401044732003729,2.2533198497344227,0.024238989074313773,llama,acknowledge,(Intercept),borderline_only
-0.00624975862011625,0.04108625516734656,-0.1521131238332781,0.8790977133401123,llama,acknowledge,threatening_z,borderline_only
0.01810785266942632,0.04282878500094622,0.4227963195553239,0.6724438731554749,llama,acknowledge,trustworthy_z,borderline_only
-0.007833694293227254,0.03557820635821357,-0.2201823839671662,0.8257291155492693,llama,acknowledge,attractive_z,borderline_only
0.02771791325430178,0.02870442362446364,0.9656321136049185,0.3342283000744516,llama,acknowledge,prototypic_z,borderline_only
-0.043276615357107126,0.07457411915477107,-0.5803168156407034,0.5617009896688472,llama,acknowledge,race_ambiguity_z,borderline_only
-0.023813187645213067,0.025157846064179964,-0.9465511309856753,0.3438675559454334,llama,acknowledge,age_rated_z,borderline_only
-0.043288166576853145,0.0628110346398118,-0.6891809190071136,0.4907094228617349,llama,acknowledge,luminance_z,borderline_only
-0.3806498483394302,0.18940427913671623,-2.009721480815482,0.04446067515157175,llama,acknowledge,raceB,borderline_only
-0.14768829133279154,0.14357841356583342,-1.0286246216606487,0.3036561033625132,llama,acknowledge,raceI,borderline_only
-0.040326169179075215,0.12110882905375343,-0.332974643501645,0.7391534235957198,llama,acknowledge,raceL,borderline_only
-0.2119046573665681,0.1862884852009573,-1.137508081285741,0.255325948220054,llama,acknowledge,raceW,borderline_only
-0.0019902791053639447,0.054914825630737754,-0.03624301966735037,0.9710885837720634,llama,acknowledge,genderM,borderline_only
