model,prompt,vignette,predictor,Estimate,SE,z,p_value,p_adj
qwen,ignore,2,threatening_z,-0.0511351702694039,0.1636602969886408,-0.3124470088976625,0.7547008292763331,0.8121761612428483
qwen,ignore,2,trustworthy_z,-0.0797872357976478,0.1694868300427427,-0.470757732488869,0.6378137515347829,0.7653765018417394
qwen,ignore,2,attractive_z,0.1395428036216598,0.1411176281157276,0.9888403418120356,0.3227412629333409,0.7653765018417394
qwen,ignore,2,prototypic_z,-0.0276895425531237,0.1165288749439483,-0.2376195819829443,0.8121761612428483,0.8121761612428483
qwen,ignore,2,race_ambiguity_z,-0.2336474160560299,0.3046049239858766,-0.7670506865045401,0.4430513800107657,0.7653765018417394
qwen,ignore,2,age_rated_z,0.0542129129199203,0.0987592523263462,0.5489400906031142,0.5830465642069925,0.7653765018417394
qwen,ignore,2,luminance_z,0.3793473375013582,0.2479810481673153,1.5297432618536588,0.1260802906686003,0.7653765018417394
qwen,ignore,2,raceB,0.3682246035873306,0.7418380136992971,0.4963679358396831,0.619634843142168,0.7653765018417394
qwen,ignore,2,raceI,0.3649506546804343,0.570556899793805,0.6396393678042012,0.5224070822756013,0.7653765018417394
qwen,ignore,2,raceL,-0.6178647518764201,0.5016658929451895,-1.2316259896582726,0.2180888278821034,0.7653765018417394
qwen,ignore,2,raceW,-0.4043362763624322,0.7637070076650193,-0.5294390025288128,0.5965009480294938,0.7653765018417394
qwen,ignore,2,genderM,0.3046596718994477,0.2172330430891993,1.40245548083746,0.1607792757827011,0.7653765018417394
qwen,baseline,2,threatening_z,-0.0632981599539604,0.1427212235475952,-0.4435090898225908,0.6573975459198496,0.7888770551038194
qwen,baseline,2,trustworthy_z,-0.1055421425313888,0.1536796507531022,-0.6867671940571373,0.4922294459812095,0.7383441689718142
qwen,baseline,2,attractive_z,-0.0332799967188605,0.1268675864311376,-0.2623207208006951,0.7930741883292687,0.7930741883292687
qwen,baseline,2,prototypic_z,0.0512946538459319,0.1042603758813037,0.4919860820790526,0.6227291825736133,0.7888770551038194
qwen,baseline,2,race_ambiguity_z,0.505791062204088,0.2691888102497962,1.8789453459626893,0.0602519562601726,0.3929263633773197
qwen,baseline,2,age_rated_z,0.0999409145837614,0.0828527377767797,1.2062475817397902,0.2277220423784996,0.3929263633773197
qwen,baseline,2,luminance_z,-0.2573548076984201,0.2140335615373343,-1.2024039867856384,0.2292070453034365,0.3929263633773197
qwen,baseline,2,raceB,0.878392510651294,0.6669939784115817,1.3169421900076954,0.1878580030561772,0.3929263633773197
qwen,baseline,2,raceI,0.1651108674741347,0.505055824841629,0.3269160741308324,0.7437313631105864,0.7930741883292687
qwen,baseline,2,raceL,0.5410014607515693,0.4292539801930128,1.2603295151935678,0.2075505168405897,0.3929263633773197
qwen,baseline,2,raceW,0.9789763780912862,0.6622851002631809,1.47817968077835,0.1393596910594571,0.3929263633773197
qwen,baseline,2,genderM,0.2452522244937832,0.1911578391491352,1.2829828250069586,0.1994980933225899,0.3929263633773197
llama,acknowledge,2,threatening_z,0.1313092021830475,0.1169870942917553,1.122424682636994,0.2616819146754005,0.3925228720131007
llama,acknowledge,2,trustworthy_z,0.1375837448245007,0.1220218567977251,1.1275336110691414,0.2595169380218551,0.3925228720131007
llama,acknowledge,2,attractive_z,-0.0814098005034739,0.1015255283531229,-0.8018653221908575,0.4226308675965817,0.507157041115898
llama,acknowledge,2,prototypic_z,0.1085837599578378,0.0815337819874128,1.331764053022843,0.1829377337082606,0.3658754674165212
llama,acknowledge,2,race_ambiguity_z,0.3163708095852604,0.2119478735271917,1.4926821596286115,0.1355204054851461,0.32524897316435064
llama,acknowledge,2,age_rated_z,0.0082215051898704,0.0715971971292209,0.1148299866408464,0.9085798803621812,0.9085798803621812
llama,acknowledge,2,luminance_z,-0.410245583345198,0.1808667308767397,-2.2682202600586585,0.023315785204544,0.273651025819275
